IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.16.81.214,4,3,0.25,173.07,0.00
104.16.69.25,4,3,0.25,173.11,0.00
104.16.28.16,4,3,0.25,173.16,0.00
104.18.255.234,4,3,0.25,173.23,0.00
104.25.35.54,4,3,0.25,173.33,0.00
104.25.66.104,4,3,0.25,173.38,0.00
104.16.20.39,4,3,0.25,173.42,0.00
104.27.199.74,4,3,0.25,173.47,0.00
104.21.62.91,4,3,0.25,173.47,0.00
104.21.31.42,4,3,0.25,173.57,0.00
104.16.16.118,4,3,0.25,174.06,0.00
104.16.17.22,4,3,0.25,174.13,0.00
104.21.66.34,4,3,0.25,174.17,0.00
104.22.35.21,4,3,0.25,174.44,0.00
104.16.79.190,4,3,0.25,174.59,0.00
104.25.57.74,4,3,0.25,174.65,0.00
104.16.80.29,4,3,0.25,174.71,0.00
104.23.96.163,4,3,0.25,174.72,0.00
104.16.89.192,4,3,0.25,174.92,0.00
104.16.112.163,4,3,0.25,174.96,0.00
104.17.88.83,4,3,0.25,174.96,0.00
104.25.62.168,4,3,0.25,175.03,0.00
104.16.71.75,4,3,0.25,175.11,0.00
104.17.82.193,4,3,0.25,175.12,0.00
104.19.13.227,4,3,0.25,175.18,0.00
104.21.73.86,4,3,0.25,175.31,0.00
104.25.1.198,4,3,0.25,175.34,0.00
104.17.86.192,4,3,0.25,175.36,0.00
104.17.87.241,4,3,0.25,175.42,0.00
104.21.197.145,4,3,0.25,175.43,0.00
104.16.85.71,4,3,0.25,175.44,0.00
104.16.27.174,4,3,0.25,175.44,0.00
104.21.208.188,4,3,0.25,175.45,0.00
104.19.0.152,4,3,0.25,175.45,0.00
104.21.64.235,4,3,0.25,175.48,0.00
104.21.90.189,4,3,0.25,175.55,0.00
104.16.24.172,4,3,0.25,175.79,0.00
104.23.107.93,4,3,0.25,175.80,0.00
104.16.86.46,4,3,0.25,176.00,0.00
104.16.70.115,4,3,0.25,176.06,0.00
104.16.29.217,4,3,0.25,176.15,0.00
104.21.106.60,4,3,0.25,176.23,0.00
104.20.215.74,4,3,0.25,176.28,0.00
104.16.66.130,4,3,0.25,176.35,0.00
104.25.117.198,4,3,0.25,176.36,0.00
104.25.154.218,4,3,0.25,176.37,0.00
104.25.5.89,4,3,0.25,176.46,0.00
104.24.240.93,4,3,0.25,176.48,0.00
104.16.72.184,4,3,0.25,176.54,0.00
104.21.202.221,4,3,0.25,176.58,0.00
104.24.3.205,4,3,0.25,176.61,0.00
104.24.69.241,4,3,0.25,176.62,0.00
104.23.135.232,4,3,0.25,176.65,0.00
104.23.131.81,4,3,0.25,176.74,0.00
104.17.84.233,4,3,0.25,176.74,0.00
104.17.78.149,4,3,0.25,176.85,0.00
104.25.140.111,4,3,0.25,176.87,0.00
104.20.227.35,4,3,0.25,176.89,0.00
104.21.211.97,4,3,0.25,176.94,0.00
104.21.67.111,4,3,0.25,176.96,0.00
104.21.69.253,4,3,0.25,177.00,0.00
104.25.15.120,4,3,0.25,177.08,0.00
104.25.223.208,4,3,0.25,177.13,0.00
104.25.3.73,4,3,0.25,177.14,0.00
104.24.213.74,4,3,0.25,177.21,0.00
104.24.214.68,4,3,0.25,177.24,0.00
104.24.253.156,4,3,0.25,177.26,0.00
104.17.80.252,4,3,0.25,177.31,0.00
104.25.55.107,4,3,0.25,177.31,0.00
104.21.209.8,4,3,0.25,177.33,0.00
104.17.54.27,4,3,0.25,177.34,0.00
162.159.239.56,4,3,0.25,177.37,0.00
104.17.85.77,4,3,0.25,177.38,0.00
104.22.33.100,4,3,0.25,177.52,0.00
104.19.183.213,4,3,0.25,177.58,0.00
104.23.121.144,4,3,0.25,177.70,0.00
104.23.100.86,4,3,0.25,177.72,0.00
104.25.22.160,4,3,0.25,177.76,0.00
104.16.22.190,4,3,0.25,177.80,0.00
104.21.212.199,4,3,0.25,177.81,0.00
104.19.101.182,4,3,0.25,177.86,0.00
104.21.99.49,4,3,0.25,177.90,0.00
104.18.200.219,4,3,0.25,177.90,0.00
104.16.64.206,4,3,0.25,178.02,0.00
104.16.250.238,4,3,0.25,178.02,0.00
104.18.103.161,4,3,0.25,178.06,0.00
104.20.6.213,4,3,0.25,178.12,0.00
104.16.25.229,4,3,0.25,178.14,0.00
104.16.73.51,4,3,0.25,178.21,0.00
104.23.129.152,4,3,0.25,178.26,0.00
104.24.189.180,4,3,0.25,178.27,0.00
104.18.105.22,4,3,0.25,178.34,0.00
104.18.194.53,4,3,0.25,178.35,0.00
162.159.250.213,4,3,0.25,178.38,0.00
104.24.252.12,4,3,0.25,178.53,0.00
104.18.198.54,4,3,0.25,178.54,0.00
104.22.66.72,4,3,0.25,178.57,0.00
104.25.203.115,4,3,0.25,178.59,0.00
104.24.177.169,4,3,0.25,178.61,0.00
104.18.201.225,4,3,0.25,178.67,0.00
104.24.248.33,4,3,0.25,178.67,0.00
104.18.193.175,4,3,0.25,178.68,0.00
104.18.210.186,4,3,0.25,178.72,0.00
104.24.243.190,4,3,0.25,178.78,0.00
104.20.206.66,4,3,0.25,178.85,0.00
162.159.241.47,4,3,0.25,178.86,0.00
104.17.50.148,4,3,0.25,178.90,0.00
104.21.98.171,4,3,0.25,178.94,0.00
104.18.104.19,4,3,0.25,178.97,0.00
104.25.47.155,4,3,0.25,178.98,0.00
104.18.140.69,4,3,0.25,178.98,0.00
104.18.138.49,4,3,0.25,179.04,0.00
104.17.92.55,4,3,0.25,179.06,0.00
104.20.97.21,4,3,0.25,179.08,0.00
104.23.143.23,4,3,0.25,179.08,0.00
104.23.141.82,4,3,0.25,179.09,0.00
104.16.26.33,4,3,0.25,179.16,0.00
104.25.78.140,4,3,0.25,179.24,0.00
104.16.74.37,4,3,0.25,179.25,0.00
104.24.160.252,4,3,0.25,179.28,0.00
104.16.90.139,4,3,0.25,179.31,0.00
104.25.187.59,4,3,0.25,179.40,0.00
104.18.195.44,4,3,0.25,179.41,0.00
104.22.72.28,4,3,0.25,179.50,0.00
104.16.76.156,4,3,0.25,179.51,0.00
104.23.142.143,4,3,0.25,179.54,0.00
104.20.96.75,4,3,0.25,179.55,0.00
104.25.193.80,4,3,0.25,179.55,0.00
104.18.199.236,4,3,0.25,179.56,0.00
104.17.55.138,4,3,0.25,179.59,0.00
104.21.213.21,4,3,0.25,179.62,0.00
104.25.14.200,4,3,0.25,179.66,0.00
104.17.79.141,4,3,0.25,179.67,0.00
104.25.43.172,4,3,0.25,179.72,0.00
104.21.107.61,4,3,0.25,179.73,0.00
104.25.64.107,4,3,0.25,179.74,0.00
104.20.86.193,4,3,0.25,179.80,0.00
104.25.136.167,4,3,0.25,179.82,0.00
104.22.67.20,4,3,0.25,179.84,0.00
104.16.31.66,4,3,0.25,179.87,0.00
104.25.16.175,4,3,0.25,179.90,0.00
104.17.77.75,4,3,0.25,179.99,0.00
104.16.77.23,4,3,0.25,180.00,0.00
104.24.181.28,4,3,0.25,180.08,0.00
104.21.217.65,4,3,0.25,180.08,0.00
104.16.75.155,4,3,0.25,180.09,0.00
104.17.91.130,4,3,0.25,180.20,0.00
104.16.23.57,4,3,0.25,180.22,0.00
104.25.26.73,4,3,0.25,180.24,0.00
104.16.94.130,4,3,0.25,180.31,0.00
104.24.168.59,4,3,0.25,180.35,0.00
104.20.212.110,4,3,0.25,180.43,0.00
104.21.216.154,4,3,0.25,180.45,0.00
104.18.137.72,4,3,0.25,180.46,0.00
104.20.211.254,4,3,0.25,180.47,0.00
104.18.99.10,4,3,0.25,180.48,0.00
104.24.130.133,4,3,0.25,180.49,0.00
104.20.89.17,4,3,0.25,180.56,0.00
104.16.65.27,4,3,0.25,180.60,0.00
104.25.56.7,4,3,0.25,180.62,0.00
104.21.218.162,4,3,0.25,180.62,0.00
104.16.68.203,4,3,0.25,180.69,0.00
104.17.19.195,4,3,0.25,180.71,0.00
104.18.100.157,4,3,0.25,180.73,0.00
162.159.253.57,4,3,0.25,180.75,0.00
104.18.133.64,4,3,0.25,180.98,0.00
172.65.27.134,4,3,0.25,180.99,0.00
104.16.83.114,4,3,0.25,181.02,0.00
104.23.97.123,4,3,0.25,181.05,0.00
104.25.8.134,4,3,0.25,181.12,0.00
104.19.31.58,4,3,0.25,181.18,0.00
104.19.25.115,4,3,0.25,181.29,0.00
104.16.95.55,4,3,0.25,181.31,0.00
104.16.88.190,4,3,0.25,181.31,0.00
104.25.159.60,4,3,0.25,181.33,0.00
104.19.103.221,4,3,0.25,181.36,0.00
104.23.110.134,4,3,0.25,181.43,0.00
104.19.9.15,4,3,0.25,181.48,0.00
104.21.207.186,4,3,0.25,181.53,0.00
104.25.49.121,4,3,0.25,181.54,0.00
104.24.212.219,4,3,0.25,181.57,0.00
104.25.31.234,4,3,0.25,181.67,0.00
104.16.84.125,4,3,0.25,181.68,0.00
104.25.60.201,4,3,0.25,181.73,0.00
104.19.83.65,4,3,0.25,181.74,0.00
104.20.217.188,4,3,0.25,181.76,0.00
104.17.48.184,4,3,0.25,181.77,0.00
104.16.18.240,4,3,0.25,181.86,0.00
104.16.30.54,4,3,0.25,181.92,0.00
104.21.63.95,4,3,0.25,181.98,0.00
162.159.247.135,4,3,0.25,182.07,0.00
104.24.163.89,4,3,0.25,182.09,0.00
104.24.203.71,4,3,0.25,182.11,0.00
104.18.213.42,4,3,0.25,182.18,0.00
104.17.89.209,4,3,0.25,182.21,0.00
104.18.129.109,4,3,0.25,182.21,0.00
104.24.235.149,4,3,0.25,182.24,0.00
104.27.8.174,4,3,0.25,182.25,0.00
104.27.194.254,4,3,0.25,182.28,0.00
104.21.114.160,4,3,0.25,182.31,0.00
104.21.116.160,4,3,0.25,182.34,0.00
104.21.215.93,4,3,0.25,182.40,0.00
104.21.204.91,4,3,0.25,182.45,0.00
104.24.211.241,4,3,0.25,182.52,0.00
104.24.60.207,4,3,0.25,182.63,0.00
104.24.162.30,4,3,0.25,182.66,0.00
104.20.214.24,4,3,0.25,182.73,0.00
162.159.244.85,4,3,0.25,182.82,0.00
104.25.17.49,4,3,0.25,182.85,0.00
104.20.225.174,4,3,0.25,182.92,0.00
104.20.216.53,4,3,0.25,182.95,0.00
104.18.130.5,4,3,0.25,182.96,0.00
162.159.242.83,4,3,0.25,182.96,0.00
104.18.136.222,4,3,0.25,182.97,0.00
172.64.80.192,4,3,0.25,183.01,0.00
104.25.52.191,4,3,0.25,183.30,0.00
104.16.82.180,4,3,0.25,183.38,0.00
104.22.71.115,4,3,0.25,183.39,0.00
162.159.246.110,4,3,0.25,183.42,0.00
162.159.249.96,4,3,0.25,183.48,0.00
104.18.98.105,4,3,0.25,183.48,0.00
162.159.255.240,4,3,0.25,183.49,0.00
104.19.29.122,4,3,0.25,183.52,0.00
104.21.113.72,4,3,0.25,183.74,0.00
104.19.122.212,4,3,0.25,183.79,0.00
104.20.95.43,4,3,0.25,183.80,0.00
104.19.16.126,4,3,0.25,183.82,0.00
104.20.172.213,4,3,0.25,183.89,0.00
162.159.245.185,4,3,0.25,183.91,0.00
104.24.223.206,4,3,0.25,184.04,0.00
104.20.221.27,4,3,0.25,184.31,0.00
104.25.74.130,4,3,0.25,184.34,0.00
104.23.111.130,4,3,0.25,184.42,0.00
104.25.50.247,4,3,0.25,184.47,0.00
104.25.58.173,4,3,0.25,184.52,0.00
104.19.89.20,4,3,0.25,184.61,0.00
104.19.86.237,4,3,0.25,184.64,0.00
104.18.132.132,4,3,0.25,184.75,0.00
104.21.72.146,4,3,0.25,184.81,0.00
104.23.105.61,4,3,0.25,184.85,0.00
162.159.207.4,4,3,0.25,185.09,0.00
104.19.119.126,4,3,0.25,185.28,0.00
104.19.17.200,4,3,0.25,185.44,0.00
104.22.68.188,4,3,0.25,185.47,0.00
104.18.97.152,4,3,0.25,185.67,0.00
104.20.91.16,4,3,0.25,185.71,0.00
162.159.240.112,4,3,0.25,185.71,0.00
104.16.67.1,4,3,0.25,185.71,0.00
162.159.243.14,4,3,0.25,185.80,0.00
104.17.90.207,4,3,0.25,185.91,0.00
104.25.151.31,4,3,0.25,185.92,0.00
104.20.73.215,4,3,0.25,185.93,0.00
104.18.131.155,4,3,0.25,186.26,0.00
104.24.254.85,4,3,0.25,186.31,0.00
104.20.229.119,4,3,0.25,186.53,0.00
104.16.93.84,4,3,0.25,186.85,0.00
104.19.252.125,4,3,0.25,186.85,0.00
104.24.91.142,4,3,0.25,186.89,0.00
104.20.220.68,4,3,0.25,187.04,0.00
104.22.25.163,4,3,0.25,187.04,0.00
162.159.254.152,4,3,0.25,187.07,0.00
104.21.102.204,4,3,0.25,187.43,0.00
104.19.30.31,4,3,0.25,187.53,0.00
104.24.218.139,4,3,0.25,187.61,0.00
162.159.252.3,4,3,0.25,187.72,0.00
104.23.122.190,4,3,0.25,187.95,0.00
162.159.251.235,4,3,0.25,187.97,0.00
162.159.248.6,4,3,0.25,188.15,0.00
104.18.107.179,4,3,0.25,189.92,0.00
104.21.92.21,4,3,0.25,189.93,0.00
104.25.32.3,4,3,0.25,190.15,0.00
104.20.15.49,4,3,0.25,190.62,0.00
104.19.192.29,4,3,0.25,190.69,0.00
104.22.22.177,4,3,0.25,190.98,0.00
104.21.125.239,4,3,0.25,191.34,0.00
104.16.40.211,4,3,0.25,191.36,0.00
104.23.108.115,4,3,0.25,191.63,0.00
104.19.68.203,4,3,0.25,191.69,0.00
104.20.228.60,4,3,0.25,191.97,0.00
104.20.224.28,4,3,0.25,192.19,0.00
104.18.32.254,4,3,0.25,192.53,0.00
104.19.107.153,4,3,0.25,192.55,0.00
104.20.249.234,4,3,0.25,193.91,0.00
104.16.34.46,4,3,0.25,194.00,0.00
104.20.219.203,4,3,0.25,194.12,0.00
104.21.34.186,4,3,0.25,194.55,0.00
104.16.36.10,4,3,0.25,195.19,0.00
104.16.41.229,4,3,0.25,195.97,0.00
198.41.223.238,4,3,0.25,196.45,0.00
104.20.117.54,4,3,0.25,197.54,0.00
104.24.84.84,4,3,0.25,198.86,0.00
104.20.114.236,4,3,0.25,199.68,0.00
104.24.49.106,4,3,0.25,199.88,0.00
104.20.208.233,4,3,0.25,200.38,0.00
104.20.243.30,4,3,0.25,200.67,0.00
104.20.232.238,4,3,0.25,200.91,0.00
104.19.28.124,4,3,0.25,200.97,0.00
198.41.217.224,4,3,0.25,201.48,0.00
104.20.230.92,4,3,0.25,202.10,0.00
104.20.250.57,4,3,0.25,202.61,0.00
198.41.216.86,4,3,0.25,202.74,0.00
198.41.222.110,4,3,0.25,202.80,0.00
104.20.237.45,4,3,0.25,202.92,0.00
104.20.248.239,4,3,0.25,203.17,0.00
104.20.235.28,4,3,0.25,203.21,0.00
104.21.100.77,4,3,0.25,203.25,0.00
104.21.108.115,4,3,0.25,203.40,0.00
104.20.179.36,4,3,0.25,203.63,0.00
104.24.78.48,4,3,0.25,203.85,0.00
104.24.79.84,4,3,0.25,204.11,0.00
198.41.218.205,4,3,0.25,204.51,0.00
104.24.31.247,4,3,0.25,204.64,0.00
104.24.40.50,4,3,0.25,204.66,0.00
104.24.38.150,4,3,0.25,204.79,0.00
104.20.240.93,4,3,0.25,205.12,0.00
104.24.85.50,4,3,0.25,206.10,0.00
104.24.42.172,4,3,0.25,206.31,0.00
104.24.171.211,4,3,0.25,206.81,0.00
104.24.63.62,4,3,0.25,207.06,0.00
104.24.18.83,4,3,0.25,207.88,0.00
104.19.24.99,4,3,0.25,208.47,0.00
104.24.57.50,4,3,0.25,208.60,0.00
104.24.20.29,4,3,0.25,208.62,0.00
104.19.131.189,4,3,0.25,208.83,0.00
104.24.72.184,4,3,0.25,209.37,0.00
104.16.217.126,4,3,0.25,209.99,0.00
104.24.74.171,4,3,0.25,210.55,0.00
104.24.76.162,4,3,0.25,211.11,0.00
104.24.46.218,4,3,0.25,211.20,0.00
104.24.65.108,4,3,0.25,211.69,0.00
104.24.55.189,4,3,0.25,212.25,0.00
104.17.14.54,4,3,0.25,212.55,0.00
104.24.13.249,4,3,0.25,214.34,0.00
104.16.220.2,4,3,0.25,214.69,0.00
104.19.132.174,4,3,0.25,215.10,0.00
104.24.64.221,4,3,0.25,215.59,0.00
104.20.108.80,4,3,0.25,215.93,0.00
104.19.136.224,4,3,0.25,216.34,0.00
104.20.178.246,4,3,0.25,218.08,0.00
104.16.185.48,4,3,0.25,219.04,0.00
104.24.58.38,4,3,0.25,222.21,0.00
104.16.167.223,4,3,0.25,222.33,0.00
104.16.99.192,4,3,0.25,223.07,0.00
104.16.130.135,4,3,0.25,223.93,0.00
104.21.76.149,4,3,0.25,224.64,0.00
104.24.48.183,4,3,0.25,226.09,0.00
104.18.112.117,4,3,0.25,227.12,0.00
104.18.127.21,4,3,0.25,227.13,0.00
104.19.18.124,4,3,0.25,228.31,0.00
104.16.105.96,4,3,0.25,229.40,0.00
104.20.14.120,4,3,0.25,230.70,0.00
104.16.108.57,4,3,0.25,231.24,0.00
104.16.107.82,4,3,0.25,231.84,0.00
162.159.153.166,4,3,0.25,231.85,0.00
104.16.106.75,4,3,0.25,231.98,0.00
104.16.221.200,4,3,0.25,233.49,0.00
104.25.118.21,4,3,0.25,233.88,0.00
104.25.116.145,4,3,0.25,235.20,0.00
104.20.16.222,4,3,0.25,235.87,0.00
104.20.7.194,4,3,0.25,236.19,0.00
104.19.133.213,4,3,0.25,237.04,0.00
104.25.97.62,4,3,0.25,238.82,0.00
104.20.50.99,4,3,0.25,239.65,0.00
104.17.3.60,4,3,0.25,240.35,0.00
104.20.51.184,4,3,0.25,240.78,0.00
104.21.42.211,4,3,0.25,240.92,0.00
104.20.12.157,4,3,0.25,241.77,0.00
104.19.23.215,4,3,0.25,241.90,0.00
104.25.89.90,4,3,0.25,242.71,0.00
104.25.88.48,4,3,0.25,242.87,0.00
104.20.56.59,4,3,0.25,243.04,0.00
104.19.27.252,4,3,0.25,243.49,0.00
104.25.229.80,4,3,0.25,244.88,0.00
104.20.245.177,4,3,0.25,246.42,0.00
104.20.141.147,4,3,0.25,247.06,0.00
104.16.189.23,4,3,0.25,247.19,0.00
104.20.139.1,4,3,0.25,247.85,0.00
104.17.42.82,4,3,0.25,248.85,0.00
104.25.86.28,4,3,0.25,253.02,0.00
104.16.184.122,4,3,0.25,253.15,0.00
104.25.225.137,4,3,0.25,254.37,0.00
104.20.10.122,4,3,0.25,262.72,0.00
104.25.219.252,4,3,0.25,263.85,0.00
104.17.38.187,4,3,0.25,265.15,0.00
104.20.9.165,4,3,0.25,265.54,0.00
104.20.120.139,4,3,0.25,265.96,0.00
104.20.5.64,4,3,0.25,266.41,0.00
104.20.4.108,4,3,0.25,268.82,0.00
104.19.134.211,4,3,0.25,272.75,0.00
104.20.20.104,4,3,0.25,274.17,0.00
104.20.24.230,4,3,0.25,278.36,0.00
104.16.229.198,4,3,0.25,283.34,0.00
104.20.8.183,4,3,0.25,299.69,0.00
104.19.129.249,4,3,0.25,303.12,0.00
104.17.43.70,4,3,0.25,303.92,0.00
104.19.128.48,4,3,0.25,306.48,0.00
104.19.130.185,4,3,0.25,306.78,0.00
162.159.203.144,4,3,0.25,308.04,0.00
104.17.46.188,4,3,0.25,309.94,0.00
104.16.228.182,4,3,0.25,310.04,0.00
104.17.2.148,4,3,0.25,310.49,0.00
104.16.237.92,4,3,0.25,311.20,0.00
104.17.39.178,4,3,0.25,312.49,0.00
104.25.246.159,4,2,0.50,21.31,0.00
104.17.205.210,4,2,0.50,22.83,0.00
104.25.252.20,4,2,0.50,25.78,0.00
104.25.241.234,4,2,0.50,26.11,0.00
104.18.191.71,4,2,0.50,26.97,0.00
104.25.253.56,4,2,0.50,29.06,0.00
104.18.238.152,4,2,0.50,31.81,0.00
104.17.130.66,4,2,0.50,32.68,0.00
104.17.132.128,4,2,0.50,35.18,0.00
104.17.128.92,4,2,0.50,37.46,0.00
104.17.134.86,4,2,0.50,37.67,0.00
104.17.201.35,4,2,0.50,39.03,0.00
104.17.135.254,4,2,0.50,39.24,0.00
104.18.180.142,4,2,0.50,40.68,0.00
104.17.199.170,4,2,0.50,40.73,0.00
104.17.196.74,4,2,0.50,40.75,0.00
104.19.50.170,4,2,0.50,44.04,0.00
104.17.129.48,4,2,0.50,48.17,0.00
104.19.57.45,4,2,0.50,52.21,0.00
104.18.146.53,4,2,0.50,54.04,0.00
104.19.52.156,4,2,0.50,55.16,0.00
104.19.53.87,4,2,0.50,55.94,0.00
104.19.46.74,4,2,0.50,59.46,0.00
104.19.55.69,4,2,0.50,65.02,0.00
104.18.229.200,4,2,0.50,68.40,0.00
104.19.45.137,4,2,0.50,72.38,0.00
104.18.89.250,4,2,0.50,74.19,0.00
104.19.49.3,4,2,0.50,77.75,0.00
104.17.119.121,4,2,0.50,80.62,0.00
104.16.195.209,4,2,0.50,80.90,0.00
104.19.157.194,4,2,0.50,81.76,0.00
104.17.177.115,4,2,0.50,83.79,0.00
104.17.121.76,4,2,0.50,84.68,0.00
104.19.156.59,4,2,0.50,85.47,0.00
172.64.144.193,4,2,0.50,85.61,0.00
104.18.68.0,4,2,0.50,87.24,0.00
104.17.181.133,4,2,0.50,89.38,0.00
104.18.86.76,4,2,0.50,89.91,0.00
104.17.125.201,4,2,0.50,91.22,0.00
104.19.155.195,4,2,0.50,91.92,0.00
104.19.158.165,4,2,0.50,92.39,0.00
104.17.212.76,4,2,0.50,92.42,0.00
104.19.150.75,4,2,0.50,93.02,0.00
104.16.11.70,4,2,0.50,93.10,0.00
104.18.92.179,4,2,0.50,93.99,0.00
104.19.154.78,4,2,0.50,94.05,0.00
104.17.172.247,4,2,0.50,94.27,0.00
104.17.170.60,4,2,0.50,94.97,0.00
104.16.10.193,4,2,0.50,95.51,0.00
104.18.84.27,4,2,0.50,95.71,0.00
104.17.175.10,4,2,0.50,96.06,0.00
104.18.224.207,4,2,0.50,97.09,0.00
104.18.45.86,4,2,0.50,97.55,0.00
104.17.190.109,4,2,0.50,98.86,0.00
104.16.156.85,4,2,0.50,99.75,0.00
104.19.153.62,4,2,0.50,100.24,0.00
104.17.188.179,4,2,0.50,100.90,0.00
104.16.198.71,4,2,0.50,100.96,0.00
104.19.152.161,4,2,0.50,102.21,0.00
104.16.146.67,4,2,0.50,102.55,0.00
104.17.116.198,4,2,0.50,102.71,0.00
104.18.226.22,4,2,0.50,102.78,0.00
104.18.225.233,4,2,0.50,102.95,0.00
104.16.158.153,4,2,0.50,102.99,0.00
104.17.117.252,4,2,0.50,103.32,0.00
104.17.208.97,4,2,0.50,103.99,0.00
104.16.151.122,4,2,0.50,104.03,0.00
104.19.210.31,4,2,0.50,104.45,0.00
104.17.185.19,4,2,0.50,104.60,0.00
104.17.120.112,4,2,0.50,105.02,0.00
104.16.147.15,4,2,0.50,105.12,0.00
104.16.200.69,4,2,0.50,105.63,0.00
104.17.193.92,4,2,0.50,105.80,0.00
104.16.199.233,4,2,0.50,106.11,0.00
104.17.51.245,4,2,0.50,107.14,0.00
104.16.148.122,4,2,0.50,107.79,0.00
104.16.253.78,4,2,0.50,108.31,0.00
104.17.168.19,4,2,0.50,108.70,0.00
104.16.144.30,4,2,0.50,108.77,0.00
104.17.198.76,4,2,0.50,109.54,0.00
104.16.152.66,4,2,0.50,109.91,0.00
104.17.223.155,4,2,0.50,110.47,0.00
104.18.237.114,4,2,0.50,113.39,0.00
104.18.81.99,4,2,0.50,114.75,0.00
104.17.113.226,4,2,0.50,116.34,0.00
104.19.151.221,4,2,0.50,116.39,0.00
104.16.155.109,4,2,0.50,116.82,0.00
104.17.110.146,4,2,0.50,117.00,0.00
104.19.159.26,4,2,0.50,117.13,0.00
104.16.4.71,4,2,0.50,119.36,0.00
104.17.136.23,4,2,0.50,119.57,0.00
104.17.137.247,4,2,0.50,119.92,0.00
104.18.82.108,4,2,0.50,120.10,0.00
104.18.67.85,4,2,0.50,123.07,0.00
104.18.47.192,4,2,0.50,123.91,0.00
104.18.44.172,4,2,0.50,125.20,0.00
104.18.227.161,4,2,0.50,125.46,0.00
104.18.145.40,4,2,0.50,126.37,0.00
104.17.187.228,4,2,0.50,129.45,0.00
104.19.220.35,4,2,0.50,132.13,0.00
104.19.61.121,4,2,0.50,142.15,0.00
104.17.152.205,4,2,0.50,146.38,0.00
104.19.173.10,4,2,0.50,155.09,0.00
104.18.1.19,4,2,0.50,155.62,0.00
104.19.60.83,4,2,0.50,155.79,0.00
172.67.148.128,4,2,0.50,155.82,0.00
104.26.2.136,4,2,0.50,155.99,0.00
172.66.40.101,4,2,0.50,156.10,0.00
172.67.75.228,4,2,0.50,156.21,0.00
104.19.170.59,4,2,0.50,156.95,0.00
104.22.50.144,4,2,0.50,157.63,0.00
104.22.59.247,4,2,0.50,158.62,0.00
104.18.10.100,4,2,0.50,158.92,0.00
104.21.235.1,4,2,0.50,159.17,0.00
104.17.241.23,4,2,0.50,159.88,0.00
104.21.233.180,4,2,0.50,160.09,0.00
104.18.189.250,4,2,0.50,160.23,0.00
104.16.15.44,4,2,0.50,160.67,0.00
104.17.229.180,4,2,0.50,161.59,0.00
104.19.169.75,4,2,0.50,163.59,0.00
104.18.4.177,4,2,0.50,164.70,0.00
104.17.232.82,4,2,0.50,164.83,0.00
104.21.225.36,4,2,0.50,165.00,0.00
104.21.17.53,4,2,0.50,165.72,0.00
104.19.160.190,4,2,0.50,165.73,0.00
104.19.161.29,4,2,0.50,166.01,0.00
104.21.16.254,4,2,0.50,166.02,0.00
104.19.148.250,4,2,0.50,167.31,0.00
104.19.166.82,4,2,0.50,167.35,0.00
104.19.164.75,4,2,0.50,167.38,0.00
104.19.162.137,4,2,0.50,167.77,0.00
104.18.28.195,4,2,0.50,169.39,0.00
104.19.163.27,4,2,0.50,169.42,0.00
104.18.70.237,4,2,0.50,170.01,0.00
104.19.165.203,4,2,0.50,170.54,0.00
104.19.167.37,4,2,0.50,171.14,0.00
104.18.209.200,4,2,0.50,171.30,0.00
104.18.37.21,4,2,0.50,171.74,0.00
104.21.210.115,4,2,0.50,172.05,0.00
104.19.184.177,4,2,0.50,172.11,0.00
104.25.71.39,4,2,0.50,172.34,0.00
104.24.192.48,4,2,0.50,172.55,0.00
104.25.185.38,4,2,0.50,172.59,0.00
104.21.220.56,4,2,0.50,172.61,0.00
104.21.27.129,4,2,0.50,172.71,0.00
104.21.88.193,4,2,0.50,173.00,0.00
104.16.235.7,4,2,0.50,173.15,0.00
104.21.24.225,4,2,0.50,173.17,0.00
172.65.249.217,4,2,0.50,173.28,0.00
104.25.6.122,4,2,0.50,173.32,0.00
172.65.61.92,4,2,0.50,173.32,0.00
104.25.147.247,4,2,0.50,173.36,0.00
104.25.106.114,4,2,0.50,173.44,0.00
104.25.96.29,4,2,0.50,173.59,0.00
104.21.25.26,4,2,0.50,173.63,0.00
104.25.231.68,4,2,0.50,173.65,0.00
104.21.26.70,4,2,0.50,174.01,0.00
104.27.27.130,4,2,0.50,174.10,0.00
104.24.250.219,4,2,0.50,174.11,0.00
104.22.76.139,4,2,0.50,174.18,0.00
104.27.204.78,4,2,0.50,174.35,0.00
104.17.33.148,4,2,0.50,174.35,0.00
104.27.28.194,4,2,0.50,174.41,0.00
104.20.197.203,4,2,0.50,174.52,0.00
104.24.56.222,4,2,0.50,174.68,0.00
104.20.226.221,4,2,0.50,174.71,0.00
104.25.19.108,4,2,0.50,174.75,0.00
104.25.104.108,4,2,0.50,174.80,0.00
104.24.150.189,4,2,0.50,174.89,0.00
104.25.220.130,4,2,0.50,175.04,0.00
104.24.239.248,4,2,0.50,175.20,0.00
104.24.159.180,4,2,0.50,175.20,0.00
104.27.103.2,4,2,0.50,175.23,0.00
104.27.54.76,4,2,0.50,175.23,0.00
104.17.65.93,4,2,0.50,175.38,0.00
104.21.195.139,4,2,0.50,175.44,0.00
104.21.85.43,4,2,0.50,175.52,0.00
104.22.34.3,4,2,0.50,175.57,0.00
